Trying to read excel file by admin at Mar 24, 2015, 10:26 am.
Trying to make database connection.
..connected.

1st sheet is consist of 906 rows.
..insert into mst_brand (name, division, description, created_by, created_date) values ('BATIK PANGESTU', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('BANDIDAS', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('BATIK VICO', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('BULAN GEMILANG', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('BATIK FRESA', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('BATIK AGNESA', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('BATIK HASAN', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('BUCKAROO', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('C. SISTER', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('C2', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('CARLA', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('CAROLINE KOSASIH', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('CAVALIER', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('CDL', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('CHEVAL', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('CHOISE ME', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('COLORBOX', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('COME', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
