Trying to read excel file by admin at Mar 24, 2015, 2:11 pm.
Trying to make database connection.
..connected.

1st sheet is consist of 906 rows.
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('B630', 'BTK WIJAYA', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('B657', 'BALLEN', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('B672', 'BATIK LISA', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('B714', 'BATIKPATRA', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('B752', 'BATIKFIRST', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('B755', 'BATIK PANGESTU', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('B774', 'BANDIDAS', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('B819', 'BATIK VICO', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('B820', 'BULAN GEMILANG', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('B831', 'BATIK FRESA', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('B890', 'BATIK AGNESA', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('B893', 'BATIK HASAN', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('B927', 'BUCKAROO', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('C010', 'C. SISTER', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('C018', 'C2', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('C105', 'CARLA', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('C112', 'CAROLINE KOSASIH', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('C131', 'CAVALIER', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('C138', 'CDL', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('C214', 'CHEVAL', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('C252', 'CHOISE ME', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('C357', 'COLORBOX', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('C363', 'COME', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('C371', 'CONTEMPO', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('C380', 'COOL TEEN', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('C390', 'CORNICHE', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('C398', 'COTTONCLUB', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('C407', 'COVER GIRL', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('C459', 'CYNTHIA', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('C585', 'CARDINAL LDS', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('C616', 'C SISTER', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('C626', 'CLC', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('C627', 'CHOCOLATE', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('C653', 'CHIC GIRL', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('C733', 'CITY CHIC', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('C752', 'COPAS', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('C778', 'CRESSIDA LDS', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('C817', 'CARVIENO', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('C853', 'CANTING ART', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('C878', 'CAESAR', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('C879', 'CAMMOMILE', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('D137', 'DINERO', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('D141', 'DIRTY', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('D188', 'DONITA MISS', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('D258', 'DUST', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('D342', 'DUAL', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('D351', 'DEMADA', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('D398', 'DAMES KLEREN', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('D405', 'DISSETANTE', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('D424', 'D-LIGHT', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('D434', 'DST', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('D514', 'DEVAGO', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('E007', 'EARLY', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('E016', 'ECRU', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('E017', 'EDDY P. CHANDRA', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('E028', 'EKS EXPORT LDS', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('E035', 'ELFAS', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('E052', 'ELLIDA', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('E123', 'ESCRAVA', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('E140', 'ETHMOS', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('E171', 'EXIT LDS', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('E183', 'EZPRESSO', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('E227', 'EL ZOYA BSN', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('E231', 'EL ZOYA', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('E245', 'ET CETERA', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
